Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
422;Blake Wesley;SG;19;SAS;2;0;11.5;3;4.5;0.667;1;1.5;0.667;2;3;0.667;0.778;1;2;0.5;0.5;0.5;1;2;0;0;1;1.5;8
423;Russell Westbrook;PG;34;LAL;6;3;29.2;4.8;12.8;0.377;0.8;4;0.208;4;8.8;0.453;0.409;2.8;4;0.708;1.2;6;7.2;5.5;1.2;0.3;3.2;2.3;13.3
424;Coby White;PG;22;CHI;7;0;21.9;3;7.9;0.382;1.4;4.9;0.294;1.6;3;0.524;0.473;0.7;1.3;0.556;0.1;1.6;1.7;1.7;0.7;0;0.9;2;8.1
425;Derrick White;SG;28;BOS;7;7;27;3;6.9;0.438;1.6;3.7;0.423;1.4;3.1;0.455;0.552;1.1;1.4;0.8;0.6;2.9;3.4;3.1;0.6;0.7;0.7;3.3;8.7
426;Jack White;SF;25;DEN;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0.5;0;0;0;0
427;Aaron Wiggins;SG;24;OKC;6;3;24.2;2.3;5.8;0.4;0.8;2.5;0.333;1.5;3.3;0.45;0.471;1.2;1.5;0.778;1;4.3;5.3;1.5;0.7;0.3;0.7;1.2;6.7
428;Andrew Wiggins;SF;27;GSW;9;9;33.3;6.7;14.3;0.465;2.3;6;0.389;4.3;8.3;0.52;0.547;1.8;2.4;0.727;1.8;3.9;5.7;2.9;1.2;1.2;0.9;3;17.4
429;Grant Williams;PF;24;BOS;6;0;25.8;3.2;5;0.633;2;3.5;0.571;1.2;1.5;0.778;0.833;1.5;1.8;0.818;0.7;3.8;4.5;1.5;0.5;1;0.3;3;9.8
430;Jalen Williams;SG;21;OKC;4;1;17.3;3.5;6;0.583;0.3;1.3;0.2;3.3;4.8;0.684;0.604;0.8;0.8;1;0;1;1;1.5;1.5;0.3;1.8;1.8;8
431;Jaylin Williams;PF;20;OKC;1;0;8;2;4;0.5;0;0;0;2;4;0.5;0.5;0;1;0;3;3;6;2;0;0;0;2;4
432;Kenrich Williams;PF;28;OKC;7;2;21.1;2.7;5.7;0.475;0.7;2;0.357;2;3.7;0.538;0.538;0.1;0.4;0.333;2;2.4;4.4;1.6;0.6;0.3;0.4;1.9;6.3
433;Mark Williams;C;21;CHO;3;0;4.3;1.3;2.3;0.571;0;0;0;1.3;2.3;0.571;0.571;1;1;1;1.3;1.3;2.7;0;0;0;0.7;1;3.7
434;Patrick Williams;PF;21;CHI;9;9;23.6;3.3;6.8;0.492;0.9;2.6;0.348;2.4;4.2;0.579;0.557;1.1;1.2;0.909;0.8;2.1;2.9;0.6;1;0.7;1.4;1.3;8.7
435;Vince Williams Jr.;SG;22;MEM;2;0;5.5;0.5;2.5;0.2;0;2;0;0.5;0.5;1;0.2;0;0;0;0.5;1;1.5;0.5;0.5;0;0;1;1
436;Zion Williamson;PF;22;NOP;5;5;31.6;9.6;19;0.505;0;0.2;0;9.6;18.8;0.511;0.505;3.6;5.2;0.692;2.4;5;7.4;4.2;1.4;0.4;2.6;2.4;22.8
437;Justise Winslow;SF;26;POR;6;0;24.7;2.5;7;0.357;0.5;1.5;0.333;2;5.5;0.364;0.393;1.2;1.7;0.7;2;3;5;3;1.7;0.7;1.2;1.8;6.7
438;James Wiseman;C;21;GSW;9;0;13.4;3.1;5.2;0.596;0;0;0;3.1;5.2;0.596;0.596;1.3;2.1;0.632;1;2.8;3.8;0.8;0.1;0.4;0.7;2.6;7.6
439;Christian Wood;PF;27;DAL;7;0;25.6;6.1;10.4;0.589;1.6;3.3;0.478;4.6;7.1;0.64;0.664;3.4;5.3;0.649;1.6;6.9;8.4;0.7;0.1;0.6;2.4;2.7;17.3
440;Delon Wright;PG;30;WAS;4;0;22.8;2.5;6;0.417;0.8;3;0.25;1.8;3;0.583;0.479;0.8;1.3;0.6;1;1.5;2.5;3.3;2.8;1;1;1.3;6.5
441;McKinley Wright IV;PG;24;DAL;1;0;5;1;4;0.25;0;1;0;1;3;0.333;0.25;0;0;0;1;1;2;2;1;0;0;0;2
442;Thaddeus Young;PF;34;TOR;5;0;8;1;2.4;0.417;0.2;1;0.2;0.8;1.4;0.571;0.458;0.2;0.4;0.5;0.4;1;1.4;0.6;1;0;0.2;0.8;2.4
443;Trae Young;PG;24;ATL;8;8;34.1;8.6;22.4;0.385;2.5;7.9;0.317;6.1;14.5;0.422;0.441;7.8;8.5;0.912;0.9;2.8;3.6;9.4;0.5;0.1;3.1;1.6;27.5
444;Ivica Zubac;C;25;LAC;8;8;28.8;3.8;6.4;0.588;0;0.1;0;3.8;6.3;0.6;0.588;1.6;2.8;0.591;2.6;8.5;11.1;1.4;0.3;2.6;2.1;2.9;9.1
